Histogram data for B:
0: 54 -> 54
1: 32 -> 32
2: 36 -> 36
3: 30 -> 30
4: 22 -> 22
5: 35 -> 35
6: 22 -> 22
7: 24 -> 24
8: 31 -> 31
9: 21 -> 21
10: 37 -> 37
11: 27 -> 27
12: 46 -> 46
13: 43 -> 43
14: 70 -> 70
15: 81 -> 81
16: 93 -> 93
17: 103 -> 103
18: 108 -> 108
19: 130 -> 131
20: 120 -> 120
21: 138 -> 139
22: 132 -> 133
23: 143 -> 143
24: 160 -> 166
25: 167 -> 174
26: 154 -> 161
27: 186 -> 195
28: 202 -> 214
29: 190 -> 208
30: 238 -> 264
31: 273 -> 305
32: 247 -> 280
33: 279 -> 312
34: 280 -> 333
35: 362 -> 420
36: 268 -> 343
37: 351 -> 443
38: 337 -> 429
39: 392 -> 524
40: 392 -> 520
41: 457 -> 639
42: 411 -> 638
43: 442 -> 683
44: 496 -> 844
45: 460 -> 801
46: 552 -> 998
47: 525 -> 1033
48: 601 -> 1242
49: 598 -> 1334
50: 579 -> 1426
51: 698 -> 1676
52: 601 -> 1698
53: 656 -> 1773
54: 668 -> 2105
55: 688 -> 2115
56: 833 -> 2602
57: 896 -> 2766
58: 856 -> 2974
59: 948 -> 3007
60: 986 -> 3474
61: 1036 -> 3172
62: 1116 -> 3635
63: 1344 -> 3988
64: 1229 -> 3446
65: 1436 -> 3627
66: 1260 -> 3408
67: 1603 -> 3797
68: 1493 -> 3542
69: 1612 -> 3498
70: 1601 -> 3622
71: 1768 -> 3745
72: 1791 -> 3516
73: 1793 -> 3619
74: 1603 -> 3376
75: 1778 -> 3328
76: 1951 -> 3762
77: 1804 -> 3283
78: 1741 -> 3441
79: 1960 -> 3858
80: 1746 -> 3263
81: 1879 -> 3515
82: 1641 -> 3222
83: 1863 -> 3492
84: 1648 -> 3182
85: 1712 -> 3171
86: 1696 -> 3343
87: 1562 -> 3125
88: 1839 -> 3480
89: 1795 -> 3329
90: 1597 -> 3085
91: 1737 -> 3204
92: 1775 -> 3473
93: 1573 -> 2950
94: 1594 -> 3136
95: 1610 -> 3142
96: 1795 -> 3450
97: 1760 -> 3267
98: 1496 -> 3016
99: 1790 -> 3332
100: 1521 -> 2984
101: 1661 -> 3063
102: 1611 -> 3193
103: 1760 -> 3342
104: 1583 -> 2991
105: 1678 -> 3134
