Histogram data for B:
0: 7969 -> 10216
1: 527 -> 662
2: 585 -> 726
3: 571 -> 678
4: 529 -> 665
5: 578 -> 730
6: 539 -> 681
7: 571 -> 703
8: 552 -> 712
9: 570 -> 698
10: 515 -> 670
11: 499 -> 629
12: 504 -> 658
13: 482 -> 632
14: 440 -> 606
15: 403 -> 570
16: 425 -> 599
17: 445 -> 628
18: 472 -> 664
19: 429 -> 675
20: 594 -> 843
21: 784 -> 1049
22: 824 -> 1119
23: 912 -> 1266
24: 1189 -> 1499
25: 1351 -> 1689
26: 1802 -> 2219
27: 2083 -> 2489
28: 2626 -> 3029
29: 3486 -> 3889
30: 4463 -> 4843
31: 4113 -> 4539
32: 4682 -> 5078
33: 4684 -> 5147
34: 4877 -> 5355
35: 4754 -> 5191
36: 4708 -> 5112
37: 5453 -> 5919
38: 4917 -> 5434
39: 6275 -> 6710
40: 5639 -> 6068
41: 6603 -> 7039
42: 5984 -> 6434
43: 7288 -> 7770
44: 6441 -> 6863
45: 7977 -> 8442
46: 7972 -> 8400
47: 7312 -> 7859
48: 7357 -> 7818
49: 6238 -> 6723
50: 6395 -> 6916
51: 5433 -> 5887
52: 4836 -> 5368
53: 4608 -> 5100
54: 4318 -> 4821
55: 4276 -> 4708
56: 4238 -> 4750
57: 4317 -> 4797
58: 4114 -> 4623
59: 4003 -> 4479
60: 3679 -> 4151
61: 3917 -> 4450
62: 3850 -> 4411
63: 3996 -> 4525
64: 3736 -> 4195
65: 3885 -> 4459
66: 4939 -> 5517
67: 5133 -> 5643
68: 4849 -> 5367
69: 5077 -> 5576
70: 5507 -> 6019
71: 5033 -> 5604
72: 5694 -> 6200
73: 5157 -> 5680
74: 5022 -> 5533
75: 4203 -> 4762
76: 4487 -> 5007
77: 3871 -> 4380
78: 2823 -> 3363
79: 3201 -> 3734
80: 2156 -> 2761
81: 2281 -> 2804
82: 1734 -> 2283
83: 1598 -> 2111
84: 1366 -> 1957
85: 1329 -> 1882
86: 1190 -> 1704
87: 1135 -> 1661
88: 1198 -> 1697
89: 1136 -> 1748
90: 1047 -> 1660
91: 1010 -> 1560
92: 1061 -> 1574
