Histogram data for B:
0: 0 -> 0
1: 0 -> 0
2: 0 -> 0
3: 11 -> 11
4: 65 -> 65
5: 111 -> 111
6: 164 -> 164
7: 261 -> 262
8: 308 -> 308
9: 431 -> 431
10: 537 -> 539
11: 682 -> 682
12: 846 -> 846
13: 912 -> 913
14: 1074 -> 1074
15: 1350 -> 1350
16: 1480 -> 1480
17: 1681 -> 1681
18: 1621 -> 1621
19: 2064 -> 2066
20: 1835 -> 1835
21: 2048 -> 2049
22: 1989 -> 1990
23: 1911 -> 1913
24: 2258 -> 2267
25: 2129 -> 2134
26: 1748 -> 1755
27: 1776 -> 1786
28: 1850 -> 1868
29: 1687 -> 1703
30: 1605 -> 1654
31: 1661 -> 1715
32: 1355 -> 1412
33: 1360 -> 1428
34: 1189 -> 1297
35: 1278 -> 1380
36: 1062 -> 1176
37: 1027 -> 1152
38: 1052 -> 1219
39: 1084 -> 1252
40: 1013 -> 1214
41: 1026 -> 1267
42: 915 -> 1209
43: 926 -> 1214
44: 1029 -> 1417
45: 1013 -> 1390
46: 1023 -> 1522
47: 875 -> 1448
48: 1110 -> 1810
49: 1057 -> 1744
50: 862 -> 1650
51: 1120 -> 1967
52: 927 -> 1778
53: 1073 -> 1916
54: 1069 -> 1981
55: 1004 -> 1820
56: 1275 -> 2105
57: 1274 -> 2055
58: 1129 -> 1924
59: 1266 -> 1965
60: 1495 -> 2295
61: 1548 -> 2159
62: 1591 -> 2358
63: 2046 -> 2824
64: 1706 -> 2409
65: 1998 -> 2644
66: 1704 -> 2445
67: 2022 -> 2834
68: 1705 -> 2424
69: 1800 -> 2520
70: 1674 -> 2451
71: 1766 -> 2616
72: 1593 -> 2249
73: 1711 -> 2356
74: 1474 -> 2197
75: 1491 -> 2143
76: 1566 -> 2177
77: 1456 -> 1968
78: 1445 -> 2032
79: 1524 -> 2145
80: 1371 -> 1823
81: 1545 -> 2019
82: 1278 -> 1751
83: 1606 -> 2110
84: 1364 -> 1847
85: 1475 -> 1889
86: 1513 -> 2017
87: 1537 -> 1987
88: 1813 -> 2319
89: 1863 -> 2362
90: 1681 -> 2209
91: 1885 -> 2399
92: 2170 -> 2792
93: 1907 -> 2486
94: 2008 -> 2704
95: 1948 -> 2638
96: 2325 -> 3153
97: 2094 -> 2850
98: 1713 -> 2530
99: 2084 -> 2932
100: 1670 -> 2449
101: 1811 -> 2625
102: 1720 -> 2723
103: 1743 -> 2749
104: 1603 -> 2507
105: 1693 -> 2674
106: 1386 -> 2466
107: 1515 -> 2446
108: 1639 -> 2791
109: 1542 -> 2484
110: 1588 -> 2801
111: 1540 -> 2787
112: 1784 -> 3138
113: 1751 -> 3092
114: 1425 -> 2879
115: 1836 -> 3502
116: 1604 -> 3211
117: 1565 -> 3295
118: 1581 -> 3610
119: 1507 -> 3539
120: 1762 -> 3858
121: 1769 -> 2026
122: 1448 -> 1968
123: 1654 -> 1907
124: 1872 -> 2206
125: 1914 -> 1811
126: 1844 -> 2023
127: 2103 -> 1925
128: 1925 -> 2103
129: 2023 -> 1844
130: 1811 -> 1914
131: 2206 -> 1872
132: 1907 -> 1654
133: 1968 -> 1448
134: 2026 -> 1769
135: 2096 -> 0
136: 2032 -> 0
137: 2029 -> 0
138: 1730 -> 0
139: 1607 -> 0
140: 1666 -> 0
141: 1454 -> 0
142: 1341 -> 0
143: 1354 -> 0
144: 1247 -> 0
145: 1213 -> 0
146: 942 -> 0
147: 1152 -> 0
148: 931 -> 0
149: 1080 -> 0
150: 981 -> 0
151: 904 -> 0
152: 1006 -> 0
153: 1003 -> 0
154: 814 -> 0
155: 779 -> 0
156: 848 -> 0
157: 817 -> 0
158: 756 -> 0
159: 828 -> 0
160: 690 -> 0
161: 696 -> 0
162: 579 -> 0
163: 622 -> 0
164: 514 -> 0
165: 528 -> 0
166: 499 -> 0
167: 506 -> 0
168: 450 -> 0
169: 504 -> 0
170: 414 -> 0
171: 483 -> 0
172: 504 -> 0
173: 473 -> 0
174: 474 -> 0
175: 452 -> 0
176: 621 -> 0
177: 587 -> 0
178: 512 -> 0
179: 611 -> 0
180: 652 -> 0
181: 723 -> 0
182: 645 -> 0
183: 656 -> 0
184: 850 -> 0
185: 777 -> 0
186: 720 -> 0
187: 719 -> 0
188: 812 -> 0
189: 741 -> 0
190: 646 -> 0
191: 703 -> 0
192: 778 -> 0
193: 767 -> 0
194: 611 -> 0
195: 800 -> 0
196: 699 -> 0
197: 795 -> 0
198: 781 -> 0
199: 830 -> 0
200: 816 -> 0
201: 912 -> 0
202: 843 -> 0
203: 851 -> 0
204: 847 -> 0
205: 788 -> 0
206: 687 -> 0
207: 700 -> 0
208: 573 -> 0
209: 499 -> 0
210: 377 -> 0
211: 388 -> 0
212: 288 -> 0
213: 294 -> 0
214: 241 -> 0
215: 201 -> 0
216: 168 -> 0
217: 167 -> 0
218: 125 -> 0
219: 114 -> 0
220: 102 -> 0
221: 108 -> 0
222: 68 -> 0
223: 57 -> 0
224: 54 -> 0
225: 49 -> 0
226: 16 -> 0
227: 18 -> 0
228: 10 -> 0
229: 7 -> 0
230: 5 -> 0
231: 9 -> 0
232: 2 -> 0
233: 1 -> 0
234: 1 -> 0
235: 0 -> 0
236: 2 -> 0
237: 0 -> 0
238: 0 -> 0
239: 0 -> 0
240: 0 -> 0
241: 0 -> 0
242: 1 -> 0
243: 0 -> 0
244: 0 -> 0
245: 2 -> 0
246: 0 -> 0
247: 0 -> 0
248: 1 -> 0
249: 0 -> 0
250: 0 -> 0
251: 0 -> 0
252: 0 -> 0
253: 0 -> 0
254: 0 -> 0
255: 0 -> 0
Histogram data for G:
0: 0 -> 112
1: 0 -> 67
2: 0 -> 178
3: 0 -> 242
4: 0 -> 302
5: 0 -> 313
6: 0 -> 357
7: 0 -> 428
8: 0 -> 582
9: 0 -> 667
10: 0 -> 749
11: 0 -> 748
12: 0 -> 986
13: 0 -> 1137
14: 0 -> 1456
15: 0 -> 1972
16: 0 -> 1826
17: 0 -> 2282
18: 0 -> 2445
19: 0 -> 2417
20: 0 -> 2265
21: 0 -> 2186
22: 0 -> 2126
23: 0 -> 1960
24: 0 -> 2256
25: 0 -> 2195
26: 0 -> 2432
27: 0 -> 2551
28: 0 -> 2929
29: 0 -> 3185
30: 0 -> 3713
31: 0 -> 4327
32: 0 -> 4057
33: 0 -> 3987
34: 0 -> 4138
35: 0 -> 3554
36: 0 -> 3360
37: 0 -> 2955
38: 0 -> 2955
39: 0 -> 2664
40: 0 -> 2731
41: 0 -> 2630
42: 0 -> 2885
43: 0 -> 2787
44: 0 -> 3176
45: 0 -> 3102
46: 0 -> 3516
47: 0 -> 3424
48: 0 -> 3476
49: 0 -> 3154
50: 0 -> 3232
51: 0 -> 2787
52: 0 -> 2670
53: 0 -> 2333
54: 1 -> 2304
55: 0 -> 2012
