Histogram data for B:
0: 14430 -> 14430
1: 802 -> 802
2: 744 -> 744
3: 860 -> 860
4: 765 -> 765
5: 735 -> 735
6: 715 -> 715
7: 813 -> 813
8: 789 -> 789
9: 791 -> 791
10: 744 -> 744
11: 773 -> 773
12: 902 -> 902
13: 881 -> 881
14: 994 -> 994
15: 1034 -> 1034
16: 1160 -> 1160
17: 1144 -> 1144
18: 1069 -> 1069
19: 1255 -> 1255
20: 1099 -> 1099
21: 965 -> 965
22: 1062 -> 1062
23: 1002 -> 1002
24: 1175 -> 1175
25: 991 -> 991
26: 910 -> 911
27: 1101 -> 1102
28: 1273 -> 1275
29: 1215 -> 1218
30: 1586 -> 1589
31: 1910 -> 1926
32: 2195 -> 2226
33: 2639 -> 2723
34: 2805 -> 2926
35: 3776 -> 3932
36: 3927 -> 4080
37: 4043 -> 4154
38: 4782 -> 4908
39: 5042 -> 5189
40: 5142 -> 5249
41: 5160 -> 5278
42: 4194 -> 4307
43: 4175 -> 4304
44: 4215 -> 4363
45: 2991 -> 3105
46: 3062 -> 3209
47: 2394 -> 2534
48: 2809 -> 2982
49: 2167 -> 2303
50: 1819 -> 2011
51: 2057 -> 2280
52: 1683 -> 1843
53: 1630 -> 1823
54: 1637 -> 1860
55: 1601 -> 1838
56: 1914 -> 2195
57: 1704 -> 1958
58: 1550 -> 1818
59: 1648 -> 1912
60: 1841 -> 2197
61: 1591 -> 1864
62: 1771 -> 2072
63: 1951 -> 2255
64: 1787 -> 2069
65: 1847 -> 2133
66: 1742 -> 1987
67: 2015 -> 2301
68: 1965 -> 2251
69: 1932 -> 2185
70: 2093 -> 2337
71: 2253 -> 2567
72: 2293 -> 2510
73: 2290 -> 2526
74: 2236 -> 2498
75: 2517 -> 2776
76: 2908 -> 3160
77: 2575 -> 2795
78: 3050 -> 3324
79: 3306 -> 3564
80: 3172 -> 3388
81: 3197 -> 3446
82: 2977 -> 3210
83: 3438 -> 3749
84: 3068 -> 3320
85: 2789 -> 3013
86: 2943 -> 3195
87: 2545 -> 2809
88: 2929 -> 3174
89: 2582 -> 2816
90: 2081 -> 2306
91: 2137 -> 2413
92: 2168 -> 2440
93: 1799 -> 2054
94: 1785 -> 2055
95: 1571 -> 1820
96: 1928 -> 2233
97: 1514 -> 1767
98: 1305 -> 1510
99: 1479 -> 1752
100: 1308 -> 1553
101: 1139 -> 1363
102: 1150 -> 1402
103: 1113 -> 1413
104: 1037 -> 1275
105: 1033 -> 1285
106: 898 -> 1160
107: 871 -> 1133
108: 939 -> 1215
109: 744 -> 985
110: 794 -> 1037
111: 665 -> 886
112: 777 -> 1044
113: 682 -> 943
114: 566 -> 789
115: 615 -> 910
116: 566 -> 802
117: 512 -> 768
118: 552 -> 796
119: 441 -> 748
120: 543 -> 830
121: 467 -> 292
122: 374 -> 272
123: 390 -> 286
124: 446 -> 348
125: 340 -> 287
126: 368 -> 342
127: 398 -> 331
128: 331 -> 398
129: 342 -> 368
130: 287 -> 340
131: 348 -> 446
132: 286 -> 390
133: 272 -> 374
134: 292 -> 467
135: 287 -> 0
136: 307 -> 0
137: 244 -> 0
138: 256 -> 0
139: 236 -> 0
140: 295 -> 0
141: 223 -> 0
142: 261 -> 0
143: 267 -> 0
144: 221 -> 0
145: 243 -> 0
146: 241 -> 0
147: 276 -> 0
148: 262 -> 0
149: 262 -> 0
150: 252 -> 0
151: 238 -> 0
152: 300 -> 0
153: 252 -> 0
154: 224 -> 0
155: 245 -> 0
156: 273 -> 0
157: 205 -> 0
158: 253 -> 0
159: 305 -> 0
160: 249 -> 0
161: 270 -> 0
162: 255 -> 0
163: 272 -> 0
164: 276 -> 0
165: 225 -> 0
166: 234 -> 0
167: 245 -> 0
168: 264 -> 0
169: 252 -> 0
170: 224 -> 0
171: 252 -> 0
172: 311 -> 0
173: 233 -> 0
174: 249 -> 0
175: 216 -> 0
176: 258 -> 0
177: 274 -> 0
178: 220 -> 0
179: 252 -> 0
180: 259 -> 0
181: 262 -> 0
182: 236 -> 0
183: 217 -> 0
184: 314 -> 0
185: 244 -> 0
186: 253 -> 0
187: 286 -> 0
188: 286 -> 0
189: 245 -> 0
190: 286 -> 0
191: 282 -> 0
192: 304 -> 0
193: 301 -> 0
194: 273 -> 0
195: 356 -> 0
196: 264 -> 0
197: 268 -> 0
198: 254 -> 0
199: 281 -> 0
200: 237 -> 0
201: 223 -> 0
202: 193 -> 0
203: 160 -> 0
204: 223 -> 0
205: 192 -> 0
206: 136 -> 0
207: 173 -> 0
208: 140 -> 0
209: 147 -> 0
210: 114 -> 0
211: 148 -> 0
212: 129 -> 0
213: 113 -> 0
214: 118 -> 0
215: 107 -> 0
216: 147 -> 0
217: 126 -> 0
218: 111 -> 0
219: 153 -> 0
220: 156 -> 0
221: 121 -> 0
222: 84 -> 0
